"Timecode","Content"
"00:00:26,493 --> 00:00:28,328","Cambell: Hello? Schafer: Hello!"
"00:00:28,328 --> 00:00:29,796","Cambell: It's open."
"00:00:45,245 --> 00:00:48,015","Oh, god."
"00:00:48,015 --> 00:00:51,618","How many flights of these stairs are there?"
"00:00:52,580 --> 00:00:55,140","[Heavy breathing] [Coughs]"
"00:00:55,620 --> 00:01:04,831","[Gasping] So out of shape."
"00:01:04,831 --> 00:01:07,234","Gonna die."
"00:01:07,440 --> 00:01:15,360","[Deep breaths] [Knocking]"
"00:01:15,360 --> 00:01:24,284","[Wheezing] Cambell: Hi, dude. Schafer: Hi."
"00:01:24,284 --> 00:01:25,886","Scott Campbell. Cambell: You made it up the stairs."
"00:01:25,886 --> 00:01:28,188","Schafer: Do you wanna work on our adventure game?"
"00:01:29,589 --> 00:01:31,124","Cambell: Yes. Schafer: Okay."
"00:01:31,880 --> 00:02:04,291","[Music] Schafer: Ah, you wanna come to the stand up?"
"00:02:04,291 --> 00:02:05,625","Crook: Come and do our stand up. We're gonna have it right here."
"00:02:05,625 --> 00:02:07,060","Cambell: You guys stand up for the whole thing?"
"00:02:07,060 --> 00:02:08,395","Schafer: Come to our stand up. Cambell: Okay."
"00:02:08,395 --> 00:02:09,628","I kind of have to use the..."
"00:02:09,628 --> 00:02:10,796","you know... Schafer: Nope."
"00:02:10,797 --> 00:02:12,165","Cambell: ...you-know-what first. Schafer: Nope."
"00:02:12,165 --> 00:02:13,467","Oh yeah?"
"00:02:13,467 --> 00:02:14,701","We were doing stand ups when you were here."
"00:02:14,701 --> 00:02:16,136","Kipnis: Ah, Scott, holy shit."
"00:02:16,136 --> 00:02:18,038","Hey! Cambell: Hey!"
"00:02:18,038 --> 00:02:20,640","Kipnis: Hey! Cambell: How are you?"
"00:02:20,640 --> 00:02:22,376","Is this how you guys always do it, just standing in the middle?"
"00:02:22,376 --> 00:02:26,079","Schafer: You stand in the middle and then you close your eyes and you lean and we pass the body around."
"00:02:26,079 --> 00:02:28,382","Rice: Good, how's it goin'? Cambell: Good, man."
"00:02:28,382 --> 00:02:30,617","Schafer: You know Brandon? Dillon: No, we haven't met before."
