Timecode,Content
"00:00:35,402 --> 00:00:37,704","Schafer: Hi, guys. How's it going?"
"00:00:37,704 --> 00:00:39,406",This is the last one of these we'll ever do?
"00:00:39,406 --> 00:00:40,607",Offscreen: Yeah.
"00:00:40,607 --> 00:00:45,546","Schafer: Seems like only yesterday I was saying all that stuff, sitting in this chair"
"00:00:45,546 --> 00:00:48,248","that I can't remember now, 'cause it's been so long ago."
"00:00:48,248 --> 00:00:50,550","Offscreen: Mm-hmm, we talked about that initial budget in that chair."
"00:00:50,550 --> 00:00:52,552",Schafer: Don't bring that up.
"00:00:52,760 --> 00:01:00,594","[Laughter] Yeah, it's just-- it's this one,"
"00:01:00,594 --> 00:01:02,296","and then it's, ahh!"
"00:01:03,200 --> 00:01:30,590","[Music] Schafer: Tonight, we are going to have a bonfire down at the beach"
"00:01:30,590 --> 00:01:34,461","to celebrate the completion of ""Broken Age,"" everybody."
"00:01:34,461 --> 00:01:37,164",[Applause] Yay!
"00:01:37,164 --> 00:01:38,532",Teamwork!
"00:01:38,532 --> 00:01:41,368","It started out like a really fun idea, and then it got really hard."
"00:01:41,368 --> 00:01:45,505","And a bunch of people wussed out, but a lot of people stuck around to the end."
"00:01:45,505 --> 00:01:52,079","I wanna thank you, thank you to the whole team, and thank you everybody."
"00:01:52,079 --> 00:01:53,513",We're done!
"00:01:53,513 --> 00:01:57,851","Like, we went to the beach, we had that party, things got a little out of control."
"00:01:57,851 --> 00:02:02,856","[Yelling] And it's fun, it's fun 'cause it's, like,"
"00:02:02,856 --> 00:02:04,591",not fixing things right at the last minute.
"00:02:04,591 --> 00:02:09,997","We kinda had it done in advance a little bit, at least for-- for me and us."
"00:02:09,997 --> 00:02:11,732","Like, it was, um, wrapped and submitted."
"00:02:11,732 --> 00:02:15,202","Like, we had to submit for the disc version, and that kind of actually-- it was tough,"
"00:02:15,202 --> 00:02:19,272","but it forced us to have a lot of stuff done before the, um, actual launch date,"
"00:02:19,272 --> 00:02:22,442",'cause we had to have that version burnt to disc.
"00:02:22,442 --> 00:02:28,448","And so, um...we had to time to kind of, like..."
"00:02:28,448 --> 00:02:30,584",adjust to the thought of it being over.
"00:02:30,584 --> 00:02:33,420","Um, so, Reds is done and it's awesome."
"00:02:33,420 --> 00:02:35,656",The end.
"00:02:35,656 --> 00:02:36,556",Rice: It's done?
"00:02:36,556 --> 00:02:37,591",Oh my God.
"00:02:37,591 --> 00:02:39,593",That's kinda sad.
"00:02:39,593 --> 00:02:44,765","We sent review keys out to press for ""Broken Age,"" so there's already, like, 10 or so folks"
"00:02:44,765 --> 00:02:46,767",that are playing for review.
"00:02:46,767 --> 00:02:50,570",With the amount of time that it's taken and the amount of things that have happened
"00:02:50,570 --> 00:02:53,840","in the last three years is, uh, staggering."
"00:02:53,840 --> 00:02:59,312","And, um, it was nice to see everyone care enough to push for a final product"
"00:02:59,312 --> 00:03:01,448",that could be something we're proud of.
"00:03:01,448 --> 00:03:04,718","Crook: Um, so yeah, it just, um, it kind of all came together at the end."
"00:03:04,718 --> 00:03:09,022",Um...so I feel good right now.
"00:03:09,022 --> 00:03:10,724",Offscreen: You feel good about it? Crook: Yeah.
"00:03:10,724 --> 00:03:14,661","I think it's beautiful, and something that we should be proud of."
"00:03:14,661 --> 00:03:17,064","Uh, I think people are gonna really like it."
"00:03:17,064 --> 00:03:19,332","Russell: Yes, we're finished."
"00:03:19,332 --> 00:03:21,301","See, I knew it would happen."
"00:03:21,301 --> 00:03:25,672","And after 13, 14 years here, you know stuff's gonna get done,"
"00:03:25,672 --> 00:03:28,575",and it'll be great in the end.
"00:03:28,575 --> 00:03:30,277",It'll be all worth it.
"00:03:30,277 --> 00:03:32,646",Schafer: Rusty. Russell: I'm playin' through and fixin' bugs.
"00:03:32,646 --> 00:03:33,780","Schafer: Well, thanks for playing."
"00:03:33,780 --> 00:03:35,215",Russell: Mostly playing. Schafer: Mm-hmm.
"00:03:35,215 --> 00:03:36,450",Awesome. What do you think so far?
"00:03:36,450 --> 00:03:37,617","Russell: I got confused, actually."
"00:03:37,617 --> 00:03:41,254",As much as I played through-- -I was-- Schafer: That's not good!
"00:03:41,254 --> 00:03:43,457","Rice: It's not a scripted cutscene, so you wouldn't know."
"00:03:43,457 --> 00:03:45,659","Russell: Yeah, exactly."
"00:03:45,659 --> 00:03:46,860","Schafer: Excellent, did you figure it out, or did ask for a hint?"
"00:03:46,860 --> 00:03:48,061",Russell: I had to ask Ray.
"00:03:48,061 --> 00:03:49,763",Schafer: Oh... -Oh...
"00:03:49,763 --> 00:03:52,032","And also, look, it's running on, uh, iPhone 6."
"00:03:52,032 --> 00:03:53,467",-Thanks... Rice: Not anymore.
"00:03:53,467 --> 00:03:55,469",Schafer: Not--b-but--it's a black screen.
"00:03:55,469 --> 00:03:57,737",Oliver!
"00:03:57,737 --> 00:03:58,805","Oh, spoilers for ""Act 2""!"
"00:03:58,805 --> 00:03:59,873",Okay.
"00:04:00,107 --> 00:04:01,508","Anyway, it's running."
"00:04:01,508 --> 00:04:03,376","Franzke: But, yeah."
"00:04:03,376 --> 00:04:08,115","As you can see, the game is running a little thing-- This one just crashed, but it does work."
"00:04:08,115 --> 00:04:11,718","I am extremely proud of, you know, the product the way it is right now."
"00:04:11,718 --> 00:04:15,555","Um...and, yeah, I hope it will stand the test of time."
"00:04:15,555 --> 00:04:20,493",Schafer: And then we are on the street on April 28th.
"00:04:20,494 --> 00:04:22,195",It'll be awesome.
"00:04:22,195 --> 00:04:24,564","Um, and Anna's alive."
"00:04:24,564 --> 00:04:25,632","Look at that, everybody."
"00:04:25,632 --> 00:04:27,400","Yay, Anna's alive!"
"00:04:27,400 --> 00:04:29,202",Yay!
"00:04:29,202 --> 00:04:30,637",Kipnis: It feels--it feels good.
"00:04:30,637 --> 00:04:35,842","It feels like, uh, we did-- we did something good and worthwhile"
"00:04:35,842 --> 00:04:41,848","and something that hopefully will, you know, uh, have a-- I don't know, a future?"
"00:04:41,848 --> 00:04:44,484","Like, have a legacy of some kind."
"00:04:44,484 --> 00:04:48,021","Schafer: I really, uh, felt good about the second chapter."
"00:04:48,021 --> 00:04:51,525","You know, I feel like it answered anyone's critique about the first one,"
"00:04:51,525 --> 00:04:54,628","you know, without changing the game completely, you know."
"00:04:54,628 --> 00:05:00,734","I think it definitely was, you know, harder and longer, and, um, and amazingly done in less time, so..."
"00:05:00,734 --> 00:05:07,274","Stoddard: I did my first full, full playthrough last weekend, and it is a hard game."
"00:05:07,274 --> 00:05:11,077",It's really challenging and it's really well-done and it's engaging.
