"Timecode","Content","Content_zh"
"00:00:06,466 --> 00:00:28,953","[Music] Schafer: You know you got drunk when the next morning","[音樂] Schafer：你知道自己喝醉了，當第二天早上"
"00:00:28,960 --> 00:00:31,860","you're just starting to think of things that you said, no.","你剛開始回想你說過的話，不是嗎。"
"00:00:33,380 --> 00:00:36,973","I have this memory just walking down the street yelling and screaming the entire time.","我記得自己一直在街上走路，整個過程中不斷地喊叫。"
"00:00:39,780 --> 00:00:41,740","Schafer: I love Chinatown.","Schafer：我愛唐人街。"
"00:00:42,880 --> 00:01:19,340","[Music] Schafer: Did you see how many pages I got done?","[音樂] Schafer：你看到我完成了多少頁嗎？"
"00:01:20,520 --> 00:01:24,560","So far I've got actual writing.","到目前為止，我已經有了實際的寫作內容。"
"00:01:24,880 --> 00:01:27,580","This writing paid for by Kickstarter.","這些寫作由Kickstarter資助。"
"00:01:27,980 --> 00:01:30,760","So, it's a book. It's coming along. We came up with a code name.","所以，這是一本書。進展順利。我們想出了一個代號。"
"00:01:30,800 --> 00:01:32,840","Do you want to ask questions or should I just start talking?","你想問問題嗎，還是我直接開始講？"
"00:01:33,760 --> 00:01:38,120","Rice: DF adventure. Budget.","Rice：DF冒險。預算。"
"00:01:39,340 --> 00:01:43,900","Schafer: Budget? We need that. We might not need that.","Schafer：預算？我們需要這個。我們可能不需要。"
"00:01:44,540 --> 00:01:45,880","I think we can have food.","我想我們可以有食物。"
"00:01:46,320 --> 00:01:48,100","Launch event.","發布活動。"
"00:01:48,500 --> 00:01:50,033","I hate to cut the launch event.","我不想取消發布活動。"
"00:01:50,060 --> 00:01:52,560","That much for PAX Prime really? Rice: Um hm.","對於PAX Prime來說真的這麼多嗎？Rice：嗯哼。"
"00:01:52,560 --> 00:01:55,494","Schafer: I mean that, we might not need that.","Schafer：我是說，我們可能不需要那個。"
"00:01:55,500 --> 00:02:00,300","Let's just say if we're being really bare bones on some of this stuff.","我們就說如果我們在某些方面真的非常精簡。"
"00:02:00,300 --> 00:02:02,460","Rice: We're cutting so much stuff right now.","Rice：我們現在裁剪了很多東西。"
"00:02:04,280 --> 00:02:06,079","Rice: Ah, it's the things that like...","Rice：啊，是那些像是……"
"00:02:06,080 --> 00:02:08,080","Schafer: Greg thought of... Everything I thought of is in.","Schafer：Greg想到的……我想到的所有東西都在裡面。"
"00:02:08,080 --> 00:02:09,212","Everything Greg thought of is out.","Greg想到的所有東西都被刪除了。"
"00:02:09,220 --> 00:02:15,681","Rice: Yeah. So I was being really conservative on like trying to figure out stuff outside of just paying the members of the team","Rice：是的。所以我在試圖解決超出僅僅支付團隊成員薪資的問題時非常保守。"
"00:02:15,681 --> 00:02:17,180","that we might need to pay for.","我們可能需要支付的那些東西。"
"00:02:17,180 --> 00:02:21,346","And some of that stuff might not be necessary.","而且其中一些東西可能是沒有必要的。"
"00:02:21,346 --> 00:02:22,214","So it's...","所以這就是……"
"00:02:22,220 --> 00:02:23,480","Schafer: Well, it's tight for me.","Schafer：嗯，對我來說很緊。"
"00:02:23,480 --> 00:02:27,586","I mean, it's tight for me in terms of like the number of people we have on the team.","我的意思是，就我們團隊人數而言，對我來說很緊。"
"00:02:27,586 --> 00:02:29,806","Like I wish we had more programmers.","我希望我們有更多的程式員。"
"00:02:30,340 --> 00:02:31,674","So if we did that.","所以如果我們這樣做。"
"00:02:31,680 --> 00:02:39,020","So if we cut out all those, some of those things, we'd have like another $100,000, which would be um...","所以如果我們刪除所有那些，一些那些東西，我們將會有另外十萬美元，這會是……"
"00:02:39,020 --> 00:02:40,240","some programmer time.","一些程式員的時間。"
"00:02:40,240 --> 00:02:40,740","Rice: Yeah.","Rice：是的。"
"00:02:44,080 --> 00:02:46,780","Schafer: OK. All right.","Schafer：好的。"
"00:02:46,780 --> 00:02:49,180","And then we have how long to actually make the production.","然後我們有實際製作的時間。"
"00:02:50,200 --> 00:02:51,740","'Til next November.","直到明年十一月。"
"00:02:51,740 --> 00:02:54,040","Next November's like infinity far away.","明年十一月就像無限遙遠。"
"00:02:54,180 --> 00:02:55,320","Rice: It's pretty far.","Rice：相當遠。"
"00:02:55,760 --> 00:02:58,427","Schafer: We could do eight games in that time. It sounds so long.","Schafer：我們可以在那段時間內做八款遊戲。聽起來好久。"
"00:02:58,640 --> 00:03:00,306","Cut to November.","切換到十一月。"
"00:03:00,360 --> 00:03:02,800","What? The game isn't started yet?","什麼？遊戲還沒開始嗎？"
"00:03:04,800 --> 00:03:05,540","Wait.","等等。"
"00:03:06,700 --> 00:03:08,500","Done with that. We're in Alpha, oh.","完成了。我們已經進入Alpha階段，哦。"
"00:03:08,500 --> 00:03:10,633","November this year? Rice: Yeah.","今年十一月？Rice：是的。"
"00:03:10,760 --> 00:03:13,560","Schafer: We can't do that, it's crazy. That's insane.","Schafer：我們做不到，那太瘋狂了。那太不合理了。"
"00:03:13,560 --> 00:03:15,060","We're starting in November next year. Rice: No.","我們明年十一月開始。Rice：不。"
"00:03:15,060 --> 00:03:16,060","Schafer: That sounds good.","Schafer：聽起來不錯。"
"00:03:16,060 --> 00:03:18,459","Rice: That would be a year and a half.","Rice：那將是一年半。"
"00:03:18,460 --> 00:03:21,540","Schafer: November this year, oh, that's much closer.","Schafer：今年十一月，哦，那近多了。"
"00:03:21,580 --> 00:03:24,800","Rice: I mean that gives us uhh...","Rice：我的意思是，這給了我們嗯……"
"00:03:25,720 --> 00:03:27,540","five, five whole months of production.","五個，整整五個月的製作時間。"
"00:03:27,540 --> 00:03:29,040","Schafer: Five whole months of production?","Schafer：五整個月的製作時間？"
"00:03:30,720 --> 00:03:31,980","Oh my God.","天啊。"
"00:03:31,980 --> 00:03:36,520","Schafer: Well, I'm in an interesting position now because I'm running the company and I'm running a project.","Schafer：嗯，我現在處於一個有趣的位置，因為我在經營公司，同時也在管理一個項目。"
"00:03:36,520 --> 00:03:43,661","So on the one hand I'm just, I'm equal to the other project leaders and I can't really abuse my ability to like pick up resource up","所以一方面我只是，我和其他項目負責人一樣，我不能真正濫用我的能力去獲取資源"
"00:03:43,661 --> 00:03:44,959","and put them on a different project.","並將他們分配到不同的項目。"
"00:03:44,960 --> 00:03:47,859","But I do when they're not looking, so that's fine.","但當他們沒注意時，我會這麼做，所以沒問題。"
"00:03:47,860 --> 00:03:49,640","All for the good of the project.","都是為了項目的利益。"
"00:03:52,540 --> 00:03:55,900","Team Member: Ostensibly, we going to take somebody off your team to put them on DFA.","團隊成員：表面上，我們將從你的團隊中抽調某人到DFA。"
"00:03:56,166 --> 00:03:58,026","And you're going to be short-handed.","然後你的人手會變少。"
"00:03:58,026 --> 00:04:01,386","Schafer: I mean when you're project leader, you have to kind of fight for your team.","Schafer：我的意思是，當你是項目負責人時，你必須為你的團隊而戰。"
"00:04:01,386 --> 00:04:02,847","I mean, it's a fight for resources.","我的意思是，這是一場資源的爭奪。"
"00:04:02,847 --> 00:04:08,200","And you care about the company overall but you still know that to make your game good you should get the best people on it.","你關心整個公司的利益，但你依然知道，要做好你的遊戲，你應該讓最優秀的人參與其中。"
"00:04:08,200 --> 00:04:10,733","And so you kind of, you have to do a little recruiting.","所以你需要進行一些招聘。"
"00:04:10,740 --> 00:04:15,040","You have to talk to them, you know, outside of meetings and stuff and be like, hey, are you interested?","你必須與他們溝通，知道的，在會議之外，然後說，“嘿，你有興趣嗎？”"
"00:04:15,040 --> 00:04:17,040","I think we know you'd be, this would be a good opportunity to you.","我覺得我們知道你會覺得這對你而言是一個好機會。"
"00:04:17,040 --> 00:04:23,267","You could, you know, you'd be moving up or you'd be taking on more responsibility or we're doing this really cool kind of art or something like that.","你可以，知道的，你將會晉升或承擔更多責任，或者我們會做一些非常酷的藝術之類的。"
"00:04:23,267 --> 00:04:25,587","Get people excited about it.","讓人們對此感到興奮。"
"00:04:26,060 --> 00:04:30,393","And mostly we just said that we're doing this project and most people like Anna and Brandon, you know,","而且我們大部分時候只是說我們在做這個項目，大多數人像Anna和Brandon，知道的，"
"00:04:30,400 --> 00:04:32,734","mentioned to me they wanted to work on it.","向我提到他們想參與其中。"
"00:04:32,740 --> 00:04:36,740","Dillon: I mean I was big gamer when I was a kid.","Dillon：我是說，我小時候是個重度遊戲玩家。"
"00:04:36,740 --> 00:04:41,106","But like adventure games were always kind of special to me in particular.","但冒險遊戲對我來說總是特別的。"
"00:04:41,106 --> 00:04:45,593","The fact that I wound up, you know, in a configuration where I could get to work on an adventure game with, you know,","事實上，我最終處於一個能與……一起開發冒險遊戲的環境中，知道的，"
"00:04:45,600 --> 00:04:47,701","with my favorite adventure game designer.","與我最喜愛的冒險遊戲設計師一起。"
"00:04:47,701 --> 00:04:50,161","It's just crazy and still kind of mind-boggling.","這真是太瘋狂，仍然讓人難以置信。"
"00:04:51,200 --> 00:04:58,947","Schafer: And because the schedule is so tight on DFA and it's got such a small budget, that's, that is a bit of worry, too.","Schafer：而且因為DFA的時間表如此緊湊，預算又如此有限，這也是有點讓人擔心。"
"00:05:07,640 --> 00:05:08,600","Offscreen Voice: Holy shit!","螢幕外的聲音：我的天！"
"00:05:14,433 --> 00:05:16,500","Schafer: I'm nervous, though. Offscreen Voice: Why are you nervous?","Schafer：不過我有點緊張。螢幕外的聲音：你為什麼緊張？"
"00:05:16,500 --> 00:05:21,480","Schafer: 'Cause I really want Brandon on the team.","Schafer：因為我真的很想要Brandon加入團隊。"
"00:05:21,480 --> 00:05:23,547","And so do the other teams.","其他團隊也是如此。"
"00:05:23,547 --> 00:05:28,834","So if he does something really awesome, I'm just going to get sad if we then don't get him on the team.","所以如果他做了非常棒的事情，如果我們之後沒有讓他加入團隊，我會感到難過。"
"00:05:29,040 --> 00:05:34,040","Dillon: So basically over the weekend I just wanted to prototype some tools work.","Dillon：所以基本上，週末我只是想原型化一些工具的工作。"
"00:05:34,040 --> 00:05:36,640","Schafer: Me, too. I just had, it was Easter.","Schafer：我也是。我只是有，當時是復活節。"
"00:05:36,640 --> 00:05:38,320","I didn't get around to it.","我沒時間做。"
"00:05:38,320 --> 00:05:41,240","Dillon: This is how I celebrate Easter. Schafer: It's beautiful.","Dillon：這就是我慶祝復活節的方式。Schafer：真美。"
"00:05:41,240 --> 00:05:44,720","Dillon: So I'll show you my super-awesome adventure game here.","Dillon：所以我會在這裡給你們展示我的超棒冒險遊戲。"
"00:05:44,720 --> 00:05:45,753","Schafer: Oh my God.","Schafer：天啊。"
"00:05:45,840 --> 00:05:49,480","Schafer: I didn't know you could draw. Incredible.","Schafer：我不知道你會畫畫。太不可思議了。"
"00:05:49,480 --> 00:05:52,420","Dillon: Yeah, yeah. And I feel like we're basically done.","Dillon：是的，是的。我覺得我們基本上完成了。"
"00:05:52,860 --> 00:05:54,993","Schafer: Yeah, we just got to art this up.","Schafer：是的，我們只是需要美化一下。"
"00:05:55,000 --> 00:05:58,574","Dillon: And so like I started with the classic data editing thing, which is walk boxes.","Dillon：所以我開始做的是經典的數據編輯項目，就是行走盒。"
"00:05:58,580 --> 00:06:01,713","And so like got a little, you know, a walk box here.","所以這裡有一個小的，知道的，行走盒。"
"00:06:01,720 --> 00:06:03,680","Schafer: Ah, that's crazy. Dillon: Like look how accurate.","Schafer：啊，太瘋狂了。Dillon：看看多準確。"
"00:06:05,420 --> 00:06:09,580","Schafer: Right. Now click on the outer space there. Dillon: It's fine.","Schafer：對。現在點擊那邊的外空。Dillon：沒問題。"
"00:06:09,580 --> 00:06:11,720","Schafer: Let me see this. Let me see this.","Schafer：讓我看看這個。讓我看看。"
"00:06:13,120 --> 00:06:15,986","Dillon: Oh, you're breaking the illusion.. Schafer: Oh, crash.","Dillon：哦，你打破了幻覺……Schafer：哦，崩潰了。"
"00:06:15,986 --> 00:06:17,866","It was a really good puzzle.","那是一個非常好的謎題。"
"00:06:19,360 --> 00:06:25,600","Brandon is a genius and a great programmer and also someone who has like a deep love,","Brandon是一位天才和優秀的程序員，同時也是一個對……有著深厚熱愛的人，"
"00:06:25,600 --> 00:06:31,640","a deeper understanding of the low level systems required but also a real affinity for adventure games and tools and pipeline.","對所需的底層系統有更深的理解，還對冒險遊戲、工具和流程有真正的親和力。"
"00:06:31,640 --> 00:06:34,940","Dillon: So like this is honestly the stuff that I'm most excited about, right.","Dillon：所以說，這真的是我最興奮的事情，對吧。"
