Timecode,Content,Content_zh
"00:00:32,655 --> 00:00:35,274",Schafer: I need to get accustomed to money being around.,Schafer:  我需要習慣身邊有金錢的存在。
"00:00:35,274 --> 00:00:37,002",That's the thing.,就是這回事。
"00:00:37,002 --> 00:00:41,029","This is for the therapy, the physical therapy of getting me used to actually not being afraid of money.",這是為了治療，讓我習慣不再害怕金錢的物理治療。
"00:00:41,029 --> 00:00:43,249",Offscreen voice: Richard Branson does the same thing.,螢幕外聲音：理查德·布蘭森也是這樣做的。
"00:00:43,249 --> 00:00:46,755","Schafer: Ah! You guys, what is this stuff that's all over me?",Schafer:  啊！你們這些傢伙，這些東西到底是什麼，怎麼全都弄到我身上了？
"00:00:46,755 --> 00:00:48,287",Offscreen voice: Beautiful.,螢幕外聲音：漂亮。
"00:00:48,287 --> 00:00:49,552",Schafer: I can't apply it to myself..,Schafer:  我無法應用到自己身上 ..
"00:00:49,552 --> 00:00:50,632",Offscreen voice: Oh my God.,螢幕外聲音：我的天啊。
"00:00:50,632 --> 00:00:52,113",Schafer: I can't self-terminate.,Schafer:  我無法自我終止。
"00:00:52,113 --> 00:00:53,470",Offscreen voice: Help me apply money.,螢幕外聲音：幫我應用金錢。
"00:00:53,470 --> 00:00:55,872",Schafer: I can't self-monetize.,Schafer:  我無法自我貨幣化。
"00:01:23,360 --> 00:01:27,120","Schafer: So this is a more recent, uh point-and-click adventure game.",Schafer:  所以這是最近的，呃，點選冒險遊戲。
"00:01:27,186 --> 00:01:29,962","I have to show you someone else's, because I haven't made one in a long time.",我得給你展示別人的作品，因為我已經很久沒做過了。
"00:01:29,962 --> 00:01:31,565",I used to make them back in the '90s.,我以前在 90 年代就開始做。
"00:01:31,565 --> 00:01:33,569",This is Machinarium.,這是  Machinarium。
"00:01:33,569 --> 00:01:35,512",You role play this little robot and you click around.,你扮演一個小機器人，然後你點選周圍。
"00:01:35,512 --> 00:01:41,245","And these kind of games, you walk the character around by clicking on the ground somewhere and pull on this handle here.",在這類遊戲中，你透過在地面上某處點選來移動角色，然後拉這個手柄。
"00:01:41,245 --> 00:01:43,987",And then I can make this mine cart come through the room.,然後我可以讓這個礦車透過房間。
"00:01:43,987 --> 00:01:45,529",Shahani: I'm sorry. What's that?,Shahani:  抱歉。那是什麼？
"00:01:45,529 --> 00:01:47,657","Schafer: I pulled this handle, oh, that's right.",Schafer:  我拉了這個手柄，哦，對了。
"00:01:47,657 --> 00:01:49,968",This doesn't work until I do this.,這在我做這個之前不起作用。
